# 2x Hissuma PSF10MONO series, irradiance 1000/300 W/m2, 25 degC
# global MPP: V=13.148 V, I=0.708 A, P=9.308 W
# v,i
10.133069,0.771584
10.165547,0.771390
10.198025,0.771192
10.230502,0.770989
10.262980,0.770783
10.295458,0.770572
10.327936,0.770356
10.360414,0.770136
10.392891,0.769911
10.425369,0.769681
10.457847,0.769446
10.490325,0.769206
10.522803,0.768961
10.555280,0.768710
10.587758,0.768453
10.620236,0.768191
10.652714,0.767923
10.685191,0.767649
10.717669,0.767369
10.750147,0.767082
10.782625,0.766789
10.815103,0.766489
10.847580,0.766183
10.880058,0.765869
10.912536,0.765548
10.945014,0.765220
10.977492,0.764883
11.009969,0.764539
11.042447,0.764187
11.074925,0.763827
11.107403,0.763459
11.139880,0.763082
11.172358,0.762695
11.204836,0.762299
11.237314,0.761894
11.269792,0.761480
11.302269,0.761055
11.334747,0.760621
11.367225,0.760176
11.399703,0.759720
11.432181,0.759253
11.464658,0.758774
11.497136,0.758285
11.529614,0.757783
11.562092,0.757270
11.594569,0.756744
11.627047,0.756204
11.659525,0.755651
11.692003,0.755085
11.724481,0.754505
11.756958,0.753911
11.789436,0.753303
11.821914,0.752679
11.854392,0.752039
11.886870,0.751383
11.919347,0.750711
11.951825,0.750023
11.984303,0.749318
12.016781,0.748596
12.049258,0.747855
12.081736,0.747094
12.114214,0.746316
12.146692,0.745517
12.179170,0.744699
12.211647,0.743861
12.244125,0.743003
12.276603,0.742120
12.309081,0.741216
12.341559,0.740289
12.374036,0.739339
12.406514,0.738365
12.438992,0.737367
12.471470,0.736344
12.503947,0.735293
12.536425,0.734216
12.568903,0.733112
12.601381,0.731980
12.633859,0.730819
12.666336,0.729630
12.698814,0.728410
12.731292,0.727157
12.763770,0.725872
12.796248,0.724555
12.828725,0.723205
12.861203,0.721821
12.893681,0.720402
12.926159,0.718946
12.958636,0.717451
12.991114,0.715918
13.023592,0.714346
13.056070,0.712735
13.088548,0.711083
13.121025,0.709389
13.153503,0.707650
13.185981,0.705864
13.218459,0.704034
13.250937,0.702157
13.283414,0.700233
13.315892,0.698261
13.348370,0.696238
13.380848,0.694160
13.413325,0.692027
13.445803,0.689841
13.478281,0.687600
13.510759,0.685301
13.543237,0.682945
13.575714,0.680529
13.608192,0.678045
13.640670,0.675498
13.673148,0.672886
13.705626,0.670208
13.738103,0.667463
13.770581,0.664648
13.803059,0.661760
13.835537,0.658792
13.868014,0.655750
13.900492,0.652630
13.932970,0.649431
13.965448,0.646152
13.997926,0.642789
14.030403,0.639338
14.062881,0.635793
14.095359,0.632159
14.127837,0.628433
14.160315,0.624613
14.192792,0.620696
14.225270,0.616681
14.257748,0.612557
14.290226,0.608325
14.322703,0.603986
14.355181,0.599537
14.387659,0.594976
14.420137,0.590301
14.452615,0.585508
14.485092,0.580584
14.517570,0.575533
14.550048,0.570355
14.582526,0.565047
14.615004,0.559606
14.647481,0.554029
14.679959,0.548312
14.712437,0.542436
14.744915,0.536413
14.777392,0.530238
14.809870,0.523910
14.842348,0.517424
14.874826,0.510776
14.907304,0.503960
14.939781,0.496958
14.972259,0.489781
15.004737,0.482426
15.037215,0.474889
15.069693,0.467165
15.102170,0.459250
15.134648,0.451132
15.167126,0.442798
15.199604,0.434258
15.232081,0.425508
15.264559,0.416542
15.297037,0.407356
15.329515,0.397945
15.361993,0.388291
15.394470,0.378386
15.426948,0.368239
15.459426,0.357844
15.491904,0.347196
15.524382,0.336289
15.556859,0.325118
15.589337,0.313655
15.621815,0.301904
15.654293,0.289868
15.686770,0.277543
15.719248,0.264921
15.751726,0.251995
15.784204,0.238760
15.816682,0.237291
15.849159,0.237291
15.881637,0.237291
15.914115,0.237291
15.946593,0.237291
15.979071,0.237291
16.011548,0.237291
16.044026,0.237291
16.076504,0.237291
16.108982,0.237291
16.141459,0.237291
16.173937,0.237291
16.206415,0.237291
16.238893,0.237291
16.271371,0.237291
16.303848,0.237291
16.336326,0.237291
16.368804,0.237291
16.401282,0.237291
16.433760,0.237291
16.466237,0.237291
16.498715,0.237287
16.531193,0.237275
16.563671,0.237263
16.596148,0.237250
16.628626,0.237238
16.661104,0.237226
16.693582,0.237214
16.726060,0.237202
16.758537,0.237189
16.791015,0.237177
16.823493,0.237165
16.855971,0.237153
16.888449,0.237141
16.920926,0.237128
16.953404,0.237116
16.985882,0.237104
17.018360,0.237092
17.050837,0.237080
17.083315,0.237067
17.115793,0.237055
17.148271,0.237043
17.180749,0.237031
17.213226,0.237019
17.245704,0.237006
17.278182,0.236994
17.310660,0.236982
17.343138,0.236970
17.375615,0.236958
17.408093,0.236945
17.440571,0.236933
17.473049,0.236921
17.505526,0.236909
17.538004,0.236896
17.570482,0.236884
17.602960,0.236872
17.635438,0.236860
17.667915,0.236848
17.700393,0.236835
17.732871,0.236823
17.765349,0.236811
17.797827,0.236799
17.830304,0.236786
17.862782,0.236774
17.895260,0.236762
17.927738,0.236750
17.960215,0.236737
17.992693,0.236725
18.025171,0.236713
18.057649,0.236701
18.090127,0.236688
18.122604,0.236676
18.155082,0.236664
18.187560,0.236652
18.220038,0.236639
18.252516,0.236627
18.284993,0.236615
18.317471,0.236603
18.349949,0.236590
18.382427,0.236578
18.414904,0.236566
18.447382,0.236554
18.479860,0.236541
18.512338,0.236529
18.544816,0.236517
18.577293,0.236504
18.609771,0.236492
18.642249,0.236480
18.674727,0.236467
18.707205,0.236455
18.739682,0.236443
18.772160,0.236431
18.804638,0.236418
18.837116,0.236406
18.869593,0.236394
18.902071,0.236381
18.934549,0.236369
18.967027,0.236357
18.999505,0.236344
19.031982,0.236332
19.064460,0.236320
19.096938,0.236307
19.129416,0.236295
19.161894,0.236283
19.194371,0.236270
19.226849,0.236258
19.259327,0.236245
19.291805,0.236233
19.324282,0.236221
19.356760,0.236208
19.389238,0.236196
19.421716,0.236183
19.454194,0.236171
19.486671,0.236159
19.519149,0.236146
19.551627,0.236134
19.584105,0.236121
19.616583,0.236109
19.649060,0.236096
19.681538,0.236084
19.714016,0.236071
19.746494,0.236059
19.778971,0.236046
19.811449,0.236034
19.843927,0.236021
19.876405,0.236009
19.908883,0.235996
19.941360,0.235984
19.973838,0.235971
20.006316,0.235959
20.038794,0.235946
20.071272,0.235934
20.103749,0.235921
20.136227,0.235908
20.168705,0.235896
20.201183,0.235883
20.233660,0.235871
20.266138,0.235858
20.298616,0.235845
20.331094,0.235833
20.363572,0.235820
20.396049,0.235807
20.428527,0.235794
20.461005,0.235782
20.493483,0.235769
20.525961,0.235756
20.558438,0.235743
20.590916,0.235731
20.623394,0.235718
20.655872,0.235705
20.688349,0.235692
20.720827,0.235679
20.753305,0.235666
20.785783,0.235654
20.818261,0.235641
20.850738,0.235628
20.883216,0.235615
20.915694,0.235602
20.948172,0.235589
20.980650,0.235576
21.013127,0.235563
21.045605,0.235550
21.078083,0.235537
21.110561,0.235523
21.143038,0.235510
21.175516,0.235497
21.207994,0.235484
21.240472,0.235471
21.272950,0.235458
21.305427,0.235444
21.337905,0.235431
21.370383,0.235418
21.402861,0.235404
21.435339,0.235391
21.467816,0.235377
21.500294,0.235364
21.532772,0.235350
21.565250,0.235337
21.597727,0.235323
21.630205,0.235310
21.662683,0.235296
21.695161,0.235282
21.727639,0.235269
21.760116,0.235255
21.792594,0.235241
21.825072,0.235227
21.857550,0.235213
21.890028,0.235199
21.922505,0.235186
21.954983,0.235171
21.987461,0.235157
22.019939,0.235143
22.052416,0.235129
22.084894,0.235115
22.117372,0.235101
22.149850,0.235086
22.182328,0.235072
22.214805,0.235057
22.247283,0.235043
22.279761,0.235028
22.312239,0.235014
22.344717,0.234999
22.377194,0.234984
22.409672,0.234969
22.442150,0.234954
22.474628,0.234939
22.507105,0.234924
22.539583,0.234909
22.572061,0.234894
22.604539,0.234878
22.637017,0.234863
22.669494,0.234847
22.701972,0.234832
22.734450,0.234816
22.766928,0.234800
22.799406,0.234785
22.831883,0.234769
22.864361,0.234753
22.896839,0.234736
22.929317,0.234720
22.961794,0.234704
22.994272,0.234687
23.026750,0.234671
23.059228,0.234654
23.091706,0.234637
23.124183,0.234620
23.156661,0.234603
23.189139,0.234586
23.221617,0.234569
23.254095,0.234551
23.286572,0.234533
23.319050,0.234516
23.351528,0.234498
23.384006,0.234480
23.416483,0.234461
23.448961,0.234443
23.481439,0.234424
23.513917,0.234406
23.546395,0.234387
23.578872,0.234368
23.611350,0.234348
23.643828,0.234329
23.676306,0.234309
23.708784,0.234289
23.741261,0.234269
23.773739,0.234249
23.806217,0.234229
23.838695,0.234208
23.871172,0.234187
23.903650,0.234166
23.936128,0.234144
23.968606,0.234123
24.001084,0.234101
24.033561,0.234079
24.066039,0.234056
24.098517,0.234034
24.130995,0.234011
24.163473,0.233987
24.195950,0.233964
24.228428,0.233940
24.260906,0.233916
24.293384,0.233891
24.325861,0.233867
24.358339,0.233842
24.390817,0.233816
24.423295,0.233790
24.455773,0.233764
24.488250,0.233737
24.520728,0.233711
24.553206,0.233683
24.585684,0.233655
24.618162,0.233627
24.650639,0.233599
24.683117,0.233570
24.715595,0.233540
24.748073,0.233510
24.780550,0.233480
24.813028,0.233449
24.845506,0.233418
24.877984,0.233386
24.910462,0.233353
24.942939,0.233321
24.975417,0.233287
25.007895,0.233253
25.040373,0.233218
25.072851,0.233183
25.105328,0.233147
25.137806,0.233111
25.170284,0.233074
25.202762,0.233036
25.235239,0.232998
25.267717,0.232959
25.300195,0.232919
25.332673,0.232878
25.365151,0.232837
25.397628,0.232795
25.430106,0.232752
25.462584,0.232708
25.495062,0.232664
25.527540,0.232618
25.560017,0.232572
25.592495,0.232525
25.624973,0.232477
25.657451,0.232428
25.689928,0.232378
25.722406,0.232327
25.754884,0.232275
25.787362,0.232222
25.819840,0.232168
25.852317,0.232112
25.884795,0.232056
25.917273,0.231998
25.949751,0.231940
25.982229,0.231880
26.014706,0.231818
26.047184,0.231756
26.079662,0.231692
26.112140,0.231627
26.144617,0.231560
26.177095,0.231492
26.209573,0.231423
26.242051,0.231352
26.274529,0.231279
26.307006,0.231205
26.339484,0.231129
26.371962,0.231051
26.404440,0.230972
26.436918,0.230891
26.469395,0.230808
26.501873,0.230724
26.534351,0.230637
26.566829,0.230549
26.599306,0.230458
26.631784,0.230366
26.664262,0.230271
26.696740,0.230174
26.729218,0.230075
26.761695,0.229974
26.794173,0.229871
26.826651,0.229764
26.859129,0.229656
26.891607,0.229545
26.924084,0.229431
26.956562,0.229315
26.989040,0.229196
27.021518,0.229075
27.053995,0.228950
27.086473,0.228822
27.118951,0.228692
27.151429,0.228558
27.183907,0.228422
27.216384,0.228281
27.248862,0.228138
27.281340,0.227991
27.313818,0.227841
27.346296,0.227687
27.378773,0.227530
27.411251,0.227368
27.443729,0.227203
27.476207,0.227034
27.508684,0.226861
27.541162,0.226683
27.573640,0.226502
27.606118,0.226316
27.638596,0.226125
27.671073,0.225930
27.703551,0.225730
27.736029,0.225525
27.768507,0.225315
27.800985,0.225101
27.833462,0.224881
27.865940,0.224655
27.898418,0.224424
27.930896,0.224188
27.963373,0.223946
27.995851,0.223698
28.028329,0.223444
28.060807,0.223183
28.093285,0.222917
28.125762,0.222644
28.158240,0.222364
28.190718,0.222077
28.223196,0.221783
28.255674,0.221483
28.288151,0.221175
28.320629,0.220859
28.353107,0.220536
28.385585,0.220205
28.418062,0.219866
28.450540,0.219518
28.483018,0.219162
28.515496,0.218798
28.547974,0.218425
28.580451,0.218042
28.612929,0.217650
28.645407,0.217249
28.677885,0.216838
28.710363,0.216417
28.742840,0.215986
28.775318,0.215544
28.807796,0.215092
28.840274,0.214629
28.872751,0.214155
28.905229,0.213668
28.937707,0.213170
28.970185,0.212661
29.002663,0.212140
29.035140,0.211605
29.067618,0.211057
29.100096,0.210497
29.132574,0.209924
29.165052,0.209337
29.197529,0.208735
29.230007,0.208119
29.262485,0.207489
29.294963,0.206844
29.327440,0.206185
29.359918,0.205508
29.392396,0.204816
29.424874,0.204108
29.457352,0.203384
29.489829,0.202643
29.522307,0.201883
29.554785,0.201105
29.587263,0.200309
29.619741,0.199496
29.652218,0.198664
29.684696,0.197812
29.717174,0.196939
29.749652,0.196047
29.782129,0.195135
29.814607,0.194203
29.847085,0.193250
29.879563,0.192273
29.912041,0.191275
29.944518,0.190255
29.976996,0.189211
30.009474,0.188144
30.041952,0.187052
30.074430,0.185935
30.106907,0.184793
30.139385,0.183626
30.171863,0.182434
30.204341,0.181216
30.236818,0.179972
