# 2x Hissuma PSF10MONO series, irradiance 1000/1000 W/m2, 25 degC
# global MPP: V=27.579 V, I=0.711 A, P=19.610 W
# v,i
0.000000,0.790901
0.033967,0.790880
0.067934,0.790859
0.101900,0.790837
0.135867,0.790816
0.169834,0.790795
0.203801,0.790774
0.237768,0.790752
0.271734,0.790731
0.305701,0.790710
0.339668,0.790689
0.373635,0.790667
0.407602,0.790646
0.441568,0.790625
0.475535,0.790604
0.509502,0.790582
0.543469,0.790561
0.577436,0.790540
0.611402,0.790519
0.645369,0.790498
0.679336,0.790476
0.713303,0.790455
0.747270,0.790434
0.781236,0.790413
0.815203,0.790391
0.849170,0.790370
0.883137,0.790349
0.917104,0.790328
0.951070,0.790306
0.985037,0.790285
1.019004,0.790264
1.052971,0.790243
1.086938,0.790221
1.120904,0.790200
1.154871,0.790179
1.188838,0.790158
1.222805,0.790136
1.256772,0.790115
1.290739,0.790094
1.324705,0.790073
1.358672,0.790051
1.392639,0.790030
1.426606,0.790009
1.460573,0.789988
1.494539,0.789966
1.528506,0.789945
1.562473,0.789924
1.596440,0.789903
1.630407,0.789881
1.664373,0.789860
1.698340,0.789839
1.732307,0.789818
1.766274,0.789796
1.800241,0.789775
1.834207,0.789754
1.868174,0.789733
1.902141,0.789711
1.936108,0.789690
1.970075,0.789669
2.004041,0.789648
2.038008,0.789626
2.071975,0.789605
2.105942,0.789584
2.139909,0.789563
2.173875,0.789541
2.207842,0.789520
2.241809,0.789499
2.275776,0.789478
2.309743,0.789456
2.343709,0.789435
2.377676,0.789414
2.411643,0.789392
2.445610,0.789371
2.479577,0.789350
2.513543,0.789329
2.547510,0.789307
2.581477,0.789286
2.615444,0.789265
2.649411,0.789244
2.683377,0.789222
2.717344,0.789201
2.751311,0.789180
2.785278,0.789159
2.819245,0.789137
2.853211,0.789116
2.887178,0.789095
2.921145,0.789074
2.955112,0.789052
2.989079,0.789031
3.023045,0.789010
3.057012,0.788988
3.090979,0.788967
3.124946,0.788946
3.158913,0.788925
3.192879,0.788903
3.226846,0.788882
3.260813,0.788861
3.294780,0.788840
3.328747,0.788818
3.362713,0.788797
3.396680,0.788776
3.430647,0.788754
3.464614,0.788733
3.498581,0.788712
3.532548,0.788691
3.566514,0.788669
3.600481,0.788648
3.634448,0.788627
3.668415,0.788605
3.702382,0.788584
3.736348,0.788563
3.770315,0.788542
3.804282,0.788520
3.838249,0.788499
3.872216,0.788478
3.906182,0.788456
3.940149,0.788435
3.974116,0.788414
4.008083,0.788393
4.042050,0.788371
4.076016,0.788350
4.109983,0.788329
4.143950,0.788307
4.177917,0.788286
4.211884,0.788265
4.245850,0.788244
4.279817,0.788222
4.313784,0.788201
4.347751,0.788180
4.381718,0.788158
4.415684,0.788137
4.449651,0.788116
4.483618,0.788094
4.517585,0.788073
4.551552,0.788052
4.585518,0.788031
4.619485,0.788009
4.653452,0.787988
4.687419,0.787967
4.721386,0.787945
4.755352,0.787924
4.789319,0.787903
4.823286,0.787881
4.857253,0.787860
4.891220,0.787839
4.925186,0.787817
4.959153,0.787796
4.993120,0.787775
5.027087,0.787753
5.061054,0.787732
5.095020,0.787711
5.128987,0.787690
5.162954,0.787668
5.196921,0.787647
5.230888,0.787626
5.264854,0.787604
5.298821,0.787583
5.332788,0.787562
5.366755,0.787540
5.400722,0.787519
5.434688,0.787498
5.468655,0.787476
5.502622,0.787455
5.536589,0.787433
5.570556,0.787412
5.604522,0.787391
5.638489,0.787369
5.672456,0.787348
5.706423,0.787327
5.740390,0.787305
5.774357,0.787284
5.808323,0.787263
5.842290,0.787241
5.876257,0.787220
5.910224,0.787199
5.944191,0.787177
5.978157,0.787156
6.012124,0.787134
6.046091,0.787113
6.080058,0.787092
6.114025,0.787070
6.147991,0.787049
6.181958,0.787028
6.215925,0.787006
6.249892,0.786985
6.283859,0.786963
6.317825,0.786942
6.351792,0.786921
6.385759,0.786899
6.419726,0.786878
6.453693,0.786857
6.487659,0.786835
6.521626,0.786814
6.555593,0.786792
6.589560,0.786771
6.623527,0.786750
6.657493,0.786728
6.691460,0.786707
6.725427,0.786685
6.759394,0.786664
6.793361,0.786642
6.827327,0.786621
6.861294,0.786600
6.895261,0.786578
6.929228,0.786557
6.963195,0.786535
6.997161,0.786514
7.031128,0.786492
7.065095,0.786471
7.099062,0.786450
7.133029,0.786428
7.166995,0.786407
7.200962,0.786385
7.234929,0.786364
7.268896,0.786342
7.302863,0.786321
7.336829,0.786299
7.370796,0.786278
7.404763,0.786256
7.438730,0.786235
7.472697,0.786213
7.506663,0.786192
7.540630,0.786170
7.574597,0.786149
7.608564,0.786127
7.642531,0.786106
7.676497,0.786084
7.710464,0.786063
7.744431,0.786041
7.778398,0.786020
7.812365,0.785998
7.846331,0.785977
7.880298,0.785955
7.914265,0.785934
7.948232,0.785912
7.982199,0.785891
8.016166,0.785869
8.050132,0.785848
8.084099,0.785826
8.118066,0.785805
8.152033,0.785783
8.186000,0.785761
8.219966,0.785740
8.253933,0.785718
8.287900,0.785697
8.321867,0.785675
8.355834,0.785653
8.389800,0.785632
8.423767,0.785610
8.457734,0.785589
8.491701,0.785567
8.525668,0.785545
8.559634,0.785524
8.593601,0.785502
8.627568,0.785481
8.661535,0.785459
8.695502,0.785437
8.729468,0.785416
8.763435,0.785394
8.797402,0.785372
8.831369,0.785351
8.865336,0.785329
8.899302,0.785307
8.933269,0.785286
8.967236,0.785264
9.001203,0.785242
9.035170,0.785221
9.069136,0.785199
9.103103,0.785177
9.137070,0.785155
9.171037,0.785134
9.205004,0.785112
9.238970,0.785090
9.272937,0.785068
9.306904,0.785047
9.340871,0.785025
9.374838,0.785003
9.408804,0.784981
9.442771,0.784959
9.476738,0.784938
9.510705,0.784916
9.544672,0.784894
9.578638,0.784872
9.612605,0.784850
9.646572,0.784829
9.680539,0.784807
9.714506,0.784785
9.748472,0.784763
9.782439,0.784741
9.816406,0.784719
9.850373,0.784697
9.884340,0.784675
9.918306,0.784654
9.952273,0.784632
9.986240,0.784610
10.020207,0.784588
10.054174,0.784566
10.088140,0.784544
10.122107,0.784522
10.156074,0.784500
10.190041,0.784478
10.224008,0.784456
10.257975,0.784434
10.291941,0.784412
10.325908,0.784390
10.359875,0.784368
10.393842,0.784346
10.427809,0.784324
10.461775,0.784302
10.495742,0.784279
10.529709,0.784257
10.563676,0.784235
10.597643,0.784213
10.631609,0.784191
10.665576,0.784169
10.699543,0.784147
10.733510,0.784124
10.767477,0.784102
10.801443,0.784080
10.835410,0.784058
10.869377,0.784036
10.903344,0.784013
10.937311,0.783991
10.971277,0.783969
11.005244,0.783947
11.039211,0.783924
11.073178,0.783902
11.107145,0.783880
11.141111,0.783857
11.175078,0.783835
11.209045,0.783812
11.243012,0.783790
11.276979,0.783768
11.310945,0.783745
11.344912,0.783723
11.378879,0.783700
11.412846,0.783678
11.446813,0.783655
11.480779,0.783633
11.514746,0.783610
11.548713,0.783588
11.582680,0.783565
11.616647,0.783543
11.650613,0.783520
11.684580,0.783497
11.718547,0.783475
11.752514,0.783452
11.786481,0.783429
11.820447,0.783407
11.854414,0.783384
11.888381,0.783361
11.922348,0.783338
11.956315,0.783316
11.990281,0.783293
12.024248,0.783270
12.058215,0.783247
12.092182,0.783224
12.126149,0.783201
12.160115,0.783178
12.194082,0.783156
12.228049,0.783133
12.262016,0.783110
12.295983,0.783087
12.329949,0.783064
12.363916,0.783040
12.397883,0.783017
12.431850,0.782994
12.465817,0.782971
12.499784,0.782948
12.533750,0.782925
12.567717,0.782901
12.601684,0.782878
12.635651,0.782855
12.669618,0.782832
12.703584,0.782808
12.737551,0.782785
12.771518,0.782762
12.805485,0.782738
12.839452,0.782715
12.873418,0.782691
12.907385,0.782668
12.941352,0.782644
12.975319,0.782621
13.009286,0.782597
13.043252,0.782573
13.077219,0.782550
13.111186,0.782526
13.145153,0.782502
13.179120,0.782478
13.213086,0.782455
13.247053,0.782431
13.281020,0.782407
13.314987,0.782383
13.348954,0.782359
13.382920,0.782335
13.416887,0.782311
13.450854,0.782287
13.484821,0.782263
13.518788,0.782238
13.552754,0.782214
13.586721,0.782190
13.620688,0.782166
13.654655,0.782141
13.688622,0.782117
13.722588,0.782093
13.756555,0.782068
13.790522,0.782044
13.824489,0.782019
13.858456,0.781995
13.892422,0.781970
13.926389,0.781945
13.960356,0.781920
13.994323,0.781896
14.028290,0.781871
14.062256,0.781846
14.096223,0.781821
14.130190,0.781796
14.164157,0.781771
